#,Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches
332,Austin Athmann,DET,A,22-22,366,0.326,2.15,23.20%,52.40%,24.30%,13.80%,4.60%,48.40%,18.30%,33.30%,13.40%,363,879,1242
333,Yojhan Quevedo,SEA,A,23-23,417,0.295,1.27,16.10%,46.90%,37.00%,23.80%,5.60%,46.10%,22.30%,31.50%,12.40%,332,907,1239
334,Irving Lopez,STL,A,23-23,337,0.321,0.99,18.20%,40.70%,41.10%,16.50%,4.10%,45.40%,25.00%,29.60%,9.80%,458,767,1225
335,David Bañuelos,MIN,A,21-22,341,0.295,0.78,8.30%,40.10%,51.60%,25.90%,3.60%,48.90%,21.10%,30.00%,19.40%,393,829,1222
336,Jordan Gore,MIN,A,22-23,330,0.372,1.64,12.10%,54.60%,33.30%,14.50%,4.30%,43.20%,23.50%,33.30%,13.40%,441,779,1220
337,Luis Alejandro Basabe,ARI,A,20-21,313,0.353,0.95,22.30%,37.80%,39.90%,26.70%,2.70%,45.60%,27.70%,26.70%,11.50%,485,732,1217
338,Xavier Edwards,SDP,A,19-19,344,0.371,1.27,19.00%,45.40%,35.70%,18.80%,1.00%,24.90%,27.10%,48.00%,4.20%,467,741,1208
339,Jeyson Sanchez,LAA,A,22-23,337,0.203,1.08,14.50%,44.40%,41.10%,28.20%,5.90%,59.90%,21.20%,18.90%,9.90%,484,723,1207
340,Garrett McCain,DET,A,22-22,319,0.337,1.45,26.40%,43.50%,30.10%,25.90%,0.00%,39.90%,27.30%,32.80%,10.60%,478,725,1203
341,Zach Kirtley,STL,A,21-21,307,0.333,1.09,24.40%,39.50%,36.10%,13.50%,1.40%,46.40%,25.10%,28.40%,9.20%,440,761,1201
342,Jair Camargo,LAD,A,19-19,316,0.326,1.01,16.00%,42.30%,41.80%,16.00%,4.90%,37.10%,29.90%,33.00%,15.90%,400,795,1195
343,Gleyvin Pineda,LAA,A,21-22,290,0.335,1.77,14.80%,54.40%,30.80%,12.50%,7.10%,39.50%,25.40%,35.10%,10.60%,468,726,1194
344,Darren Seferina,MIL,A,24-24,281,0.296,1,16.40%,41.80%,41.80%,19.00%,3.80%,48.10%,24.30%,27.50%,7.60%,508,682,1190
345,Roberto Caro,CHC,A,23-24,308,0.445,1.29,20.50%,44.70%,34.70%,19.70%,1.50%,31.30%,32.80%,35.90%,7.00%,475,713,1188
346,Iván Herrera,STL,A,19-19,291,0.337,1.21,17.20%,45.30%,37.50%,25.00%,11.10%,48.70%,17.90%,33.30%,6.70%,487,700,1187
347,Marty Costes,HOU,A,22-23,333,0.294,1.57,18.80%,49.60%,31.60%,27.00%,6.80%,44.40%,20.70%,34.90%,6.70%,516,671,1187
348,Jean Carlos Arias,MIN,A,20-21,374,0.279,0.97,8.30%,45.10%,46.60%,26.00%,5.70%,44.50%,27.70%,27.70%,14.90%,345,842,1187
349,Nate Easley,SDP,A,21-21,304,0.333,0.93,17.50%,39.70%,42.90%,21.00%,4.90%,42.60%,26.40%,31.00%,9.90%,472,715,1187
350,Bryan De La Cruz,HOU,A,20-21,304,0.355,1.3,21.30%,44.40%,34.30%,22.50%,2.80%,49.80%,23.50%,26.80%,9.80%,447,739,1186
351,Keshawn Lynch,ARI,A,22-22,293,0.331,1.47,22.40%,46.20%,31.40%,22.40%,0.00%,42.90%,25.80%,31.30%,14.50%,489,697,1186
352,Christian Donahue,CHC,A,23-23,318,0.359,1.2,21.30%,43.00%,35.70%,12.70%,2.50%,36.90%,31.60%,31.60%,10.40%,430,756,1186
353,Andre Lipcius,DET,A,21-21,283,0.344,0.99,22.80%,38.30%,38.90%,22.70%,2.70%,43.10%,25.90%,31.00%,9.80%,443,735,1178
354,Hagen Danner,TOR,A,20-20,307,0.204,0.6,15.10%,32.00%,52.90%,23.10%,13.20%,53.10%,22.30%,24.60%,18.90%,425,747,1172
355,Shane Carrier,MIN,A,21-22,355,0.286,1.3,10.50%,50.60%,38.90%,21.50%,12.90%,52.00%,20.10%,27.90%,22.40%,332,840,1172
356,Jonah Heim,TBR,A,22-22,321,0.303,1.41,16.50%,48.90%,34.60%,38.80%,11.30%,57.40%,19.80%,22.80%,9.50%,437,734,1171
357,Ryan Grotjohn,ARI,A,23-23,335,0.342,0.84,19.90%,36.50%,43.60%,14.30%,6.70%,43.60%,24.80%,31.60%,10.70%,422,748,1170
358,Evan Edwards,MIA,A,22-22,288,0.371,1.65,18.40%,50.80%,30.70%,10.90%,14.50%,53.00%,21.90%,25.10%,13.30%,448,721,1169
359,Bo Bichette,TOR,A,19-19,317,0.452,0.94,31.40%,33.20%,35.40%,17.70%,12.70%,35.40%,26.60%,38.00%,9.90%,423,743,1166
360,John Aiello,TOR,A,22-22,301,0.373,0.83,21.00%,35.80%,43.20%,28.60%,11.40%,44.60%,24.10%,31.30%,19.10%,417,747,1164
361,Cassidy Brown,CIN,A,22-22,321,0.201,0.86,15.60%,39.00%,45.40%,18.30%,4.30%,40.50%,25.60%,34.00%,12.10%,412,748,1160
362,Chandler Taylor,HOU,A,22-22,262,0.322,0.94,17.20%,40.20%,42.60%,28.80%,17.30%,50.80%,19.40%,29.80%,15.90%,509,649,1158
363,Wadye Ynfante,STL,A,21-21,332,0.306,1.2,18.10%,44.70%,37.20%,25.70%,4.10%,42.60%,21.10%,36.40%,19.20%,374,781,1155
364,Vince Jackson,STL,A,23-23,289,0.331,0.8,19.50%,35.70%,44.90%,6.00%,9.60%,41.10%,25.80%,33.20%,10.90%,435,708,1143
365,César Salazar,HOU,A,22-23,329,0.282,0.9,18.30%,38.80%,42.90%,18.40%,5.80%,47.50%,25.80%,26.60%,12.90%,413,728,1141
366,Chris Proctor,DET,A,21-22,337,0.242,1.34,17.30%,47.30%,35.40%,17.40%,2.30%,37.50%,28.10%,34.40%,10.30%,401,738,1139
367,Sean Reynolds,MIA,A,21-21,266,0.392,0.42,21.80%,23.00%,55.20%,20.80%,18.80%,46.10%,27.00%,27.00%,26.30%,452,685,1137
368,Zac Shepherd,DET,A,21-22,253,0.317,0.7,24.00%,31.40%,44.60%,14.80%,0.00%,52.80%,19.50%,27.60%,11.90%,470,667,1137
369,Alexis Olmeda,LAA,A,23-25,293,0.289,0.85,13.10%,40.00%,46.90%,22.00%,7.30%,41.30%,27.40%,31.30%,14.60%,420,717,1137
370,Vladimir Guerrero Jr.,TOR,A,18-18,318,0.336,1.6,24.00%,46.80%,29.20%,25.00%,10.30%,40.20%,28.00%,31.80%,9.20%,451,685,1136
371,Juan Moreno,LAA,A,22-22,333,0.203,0.99,11.20%,44.20%,44.60%,32.70%,1.00%,44.30%,22.80%,32.90%,11.00%,357,777,1134
372,Mitch Reeves,CLE,A,23-24,298,0.314,1.32,16.00%,47.90%,36.20%,23.50%,10.30%,46.00%,19.20%,34.80%,10.60%,456,676,1132
373,Vimael Machín,CHC,A,23-23,305,0.332,1.59,17.10%,50.90%,32.10%,14.70%,13.30%,36.60%,32.10%,31.30%,5.80%,418,711,1129
374,Nick Sinay,TOR,A,23-23,293,0.288,1.93,15.90%,55.40%,28.70%,37.80%,2.20%,39.20%,27.70%,33.10%,8.40%,471,655,1126
375,Josh Shaw,STL,A,22-22,299,0.268,1.24,17.90%,45.40%,36.70%,22.60%,0.00%,43.80%,25.50%,30.60%,9.50%,381,739,1120
376,Jeremy Peña,HOU,A,21-21,289,0.357,1.3,16.00%,47.50%,36.50%,18.20%,7.60%,39.10%,28.60%,32.30%,9.90%,449,668,1117
377,Jordan Qsar,TBR,A,23-23,233,0.34,0.73,14.10%,36.40%,49.50%,10.20%,18.40%,44.70%,35.00%,20.40%,12.60%,461,652,1113
378,Carmen Benedetti,HOU,A,22-22,295,0.396,1.2,20.80%,43.20%,35.90%,13.00%,5.80%,35.00%,25.90%,39.10%,8.60%,460,651,1111
379,Ross Adolph,HOU,A,22-22,288,0.351,0.96,21.50%,38.50%,40.00%,16.70%,11.10%,44.30%,25.70%,30.00%,16.10%,434,675,1109
380,Tyler Durna,CHC,A,22-22,300,0.342,0.97,19.40%,39.60%,41.00%,16.50%,4.40%,43.20%,22.90%,33.90%,6.00%,432,677,1109
381,Jordan Devencenzi,OAK,A,25-25,318,0.301,1.59,17.60%,50.60%,31.80%,21.80%,1.30%,34.40%,24.80%,40.80%,6.60%,393,716,1109
382,Sam McMillan,DET,A,20-20,280,0.302,1.44,20.00%,47.30%,32.70%,22.20%,3.70%,47.10%,22.70%,30.20%,8.80%,469,638,1107
383,Hunter Steinmetz,TOR,A,22-22,275,0.278,0.73,22.60%,32.80%,44.60%,30.40%,2.50%,40.00%,23.30%,36.70%,12.70%,425,682,1107
384,Pabel Manzanero,CIN,A,23-23,352,0.336,1.05,17.90%,42.00%,40.10%,14.60%,9.70%,42.40%,33.00%,24.60%,17.10%,281,826,1107
385,Shard Munroe,CIN,A,22-23,290,0.247,0.97,17.60%,40.60%,41.80%,22.50%,8.50%,48.30%,25.90%,25.90%,13.70%,443,663,1106
386,Gabriel Mejia,CLE,A,21-22,300,0.276,3.45,18.00%,63.60%,18.40%,17.50%,0.00%,35.60%,20.70%,43.70%,8.10%,374,730,1104
387,Jhombeyker Morales,SEA,A,22-22,303,0.324,1.14,10.90%,47.50%,41.60%,16.70%,1.20%,46.70%,23.80%,29.50%,12.20%,361,741,1102
388,Yeltsin Encarnacion,MIN,A,21-21,295,0.311,1.71,9.80%,56.90%,33.30%,20.60%,2.90%,39.00%,25.80%,35.20%,10.60%,403,696,1099
389,Nathaniel Lowe,TBR,A,21-21,269,0.356,1.42,18.30%,48.00%,33.70%,5.10%,8.50%,35.60%,25.60%,38.90%,7.70%,453,643,1096
390,Brock Lundquist,TOR,A,22-22,292,0.286,0.81,22.80%,34.40%,42.80%,15.60%,16.90%,45.60%,28.60%,25.80%,11.30%,433,663,1096
391,Eddie Hernandez,ARI,A,20-20,295,0.298,1.28,17.10%,46.50%,36.40%,16.20%,1.50%,52.60%,22.40%,25.00%,14.60%,371,723,1094
392,Freudis Nova,HOU,A,19-19,299,0.332,0.96,24.90%,36.80%,38.30%,25.00%,3.80%,47.40%,24.70%,27.90%,15.10%,368,721,1089
393,Peyton Burdick,MIA,A,22-22,288,0.38,0.79,14.90%,37.50%,47.60%,18.80%,12.50%,42.90%,28.20%,28.80%,13.00%,430,657,1087
394,Jerar Encarnacion,MIA,A,21-21,281,0.375,1.16,19.90%,43.10%,37.00%,22.40%,14.90%,42.70%,25.90%,31.40%,15.20%,379,704,1083
395,Mike Martin,OAK,A,24-24,298,0.348,1.59,18.50%,50.00%,31.50%,40.00%,1.40%,40.10%,22.50%,37.40%,6.10%,388,692,1080
396,Cam Gibson,DET,A,23-23,303,0.29,0.74,14.00%,36.50%,49.50%,19.10%,9.10%,48.70%,30.00%,21.30%,11.20%,394,685,1079
397,Dennis Ortega,STL,A,20-21,294,0.318,1.45,20.20%,47.30%,32.50%,24.20%,9.10%,42.90%,30.00%,27.10%,9.80%,395,683,1078
398,DJ Neal,TOR,A,22-22,307,0.306,1.65,16.90%,51.70%,31.30%,23.80%,6.30%,42.50%,28.80%,28.80%,14.70%,378,700,1078
399,Stuart Fairchild,CIN,A,22-22,276,0.352,1.03,21.00%,40.10%,38.90%,16.90%,10.80%,48.30%,24.40%,27.30%,13.00%,437,640,1077
400,Nate Mondou,OAK,A,22-22,288,0.348,1.03,23.10%,38.90%,38.00%,20.30%,0.00%,35.40%,23.10%,41.50%,7.30%,398,678,1076
401,Grant Little,SDP,A,21-21,290,0.308,1.64,18.80%,50.50%,30.80%,17.20%,0.00%,44.90%,26.20%,29.00%,7.00%,403,668,1071
402,Niko Hulsizer,LAD,A,22-22,256,0.339,0.88,24.60%,35.40%,40.00%,23.10%,28.80%,53.70%,24.30%,22.10%,15.20%,442,626,1068
403,Nick Osborne,OAK,A,22-22,275,0.331,0.74,23.30%,32.50%,44.20%,13.90%,9.70%,43.30%,23.80%,32.90%,15.10%,355,712,1067
404,TJ Friedl,CIN,A,21-21,292,0.328,1.21,12.30%,48.00%,39.70%,28.40%,6.20%,46.40%,31.90%,21.70%,9.80%,414,652,1066
405,Keegan McGovern,SEA,A,22-22,271,0.308,1.31,10.70%,50.60%,38.70%,13.80%,23.10%,44.30%,27.60%,28.20%,12.70%,423,641,1064
406,Chad Sedio,DET,A,23-23,307,0.292,1.28,16.90%,46.60%,36.50%,15.00%,13.80%,48.20%,24.10%,27.70%,10.40%,363,699,1062
407,Tony Pena,TBR,A,21-21,288,0.311,1.64,10.30%,55.70%,34.00%,19.70%,1.50%,44.70%,20.80%,34.50%,18.00%,341,718,1059
408,Luis Barrera,OAK,A,21-21,301,0.341,1.41,13.80%,50.50%,35.80%,24.40%,3.80%,33.50%,28.50%,38.00%,9.50%,366,692,1058
409,Mark Kolozsvary,CIN,A,22-22,310,0.299,1.04,18.30%,41.60%,40.10%,22.80%,3.80%,50.50%,22.50%,27.00%,14.60%,399,658,1057
410,Devin Mann,LAD,A,21-21,264,0.299,0.88,29.80%,32.70%,37.40%,21.90%,3.10%,47.70%,22.20%,30.10%,8.50%,425,631,1056
411,Montrell Marshall,CIN,A,22-22,262,0.279,0.81,15.30%,38.00%,46.70%,12.50%,4.70%,34.50%,32.40%,33.10%,18.10%,386,670,1056
412,Seaver Whalen,TBR,A,24-24,279,0.262,1,10.60%,44.70%,44.70%,33.70%,6.70%,55.20%,17.40%,27.40%,9.00%,379,676,1055
413,Nick Yarnall,LAD,A,22-23,251,0.296,0.81,19.30%,36.00%,44.70%,16.40%,14.90%,48.00%,25.00%,27.00%,10.50%,427,628,1055
414,René Pinto,TBR,A,20-20,293,0.322,1.7,21.30%,49.60%,29.10%,17.90%,3.00%,35.80%,23.30%,40.90%,8.70%,368,680,1048
415,Andruw Monasterio,CHC,A,20-20,261,0.33,0.99,17.40%,41.10%,41.60%,19.00%,1.30%,39.80%,24.50%,35.70%,7.60%,382,665,1047
416,Hosea Nelson,CLE,A,22-22,276,0.297,0.93,19.10%,39.00%,41.80%,28.80%,13.60%,47.30%,23.00%,29.70%,18.10%,381,663,1044
417,Edwin Figuera,STL,A,20-21,322,0.306,2.54,11.60%,63.40%,25.00%,28.60%,1.80%,41.20%,23.20%,35.60%,13.00%,329,712,1041
418,Ariel Montesino,MIN,A,21-22,281,0.241,0.99,9.70%,44.90%,45.40%,23.80%,1.20%,47.40%,20.50%,32.10%,13.40%,354,682,1036
419,Alexis Pantoja,CLE,A,21-21,325,0.294,2.05,20.10%,53.70%,26.20%,20.30%,3.10%,36.30%,24.30%,39.40%,11.90%,324,710,1034
420,Jack Kruger,LAA,A,22-22,296,0.275,1.65,14.70%,53.10%,32.20%,30.90%,5.90%,38.00%,22.20%,39.80%,8.40%,365,663,1028
421,Jhonny Bethencourt,CHC,A,21-21,279,0.345,1.42,15.60%,49.50%,34.90%,25.40%,1.50%,43.30%,30.00%,26.60%,10.00%,364,663,1027
422,Danny Hudzina,STL,A,23-23,295,0.286,0.69,15.80%,34.40%,49.80%,29.90%,7.50%,49.50%,25.70%,24.80%,11.50%,351,676,1027
423,Corey Julks,HOU,A,22-22,261,0.315,1.1,19.00%,42.50%,38.50%,23.20%,5.80%,48.10%,27.90%,24.00%,7.70%,404,622,1026
424,Bren Spillane,CIN,A,22-22,243,0.375,0.91,17.00%,39.60%,43.40%,26.10%,10.90%,44.50%,28.20%,27.30%,20.00%,392,629,1021
425,Monte Harrison,MIL,A,21-21,261,0.333,1.26,19.50%,45.00%,35.60%,20.80%,20.80%,50.00%,25.00%,25.00%,14.80%,389,631,1020
426,Antonio Pinero,MIL,A,20-20,278,0.249,1.06,11.90%,45.40%,42.70%,27.80%,3.80%,48.20%,26.70%,25.10%,12.00%,331,689,1020
427,Jaylin Davis,MIN,A,22-22,272,0.335,1.13,11.20%,47.10%,41.80%,15.50%,16.90%,46.10%,25.80%,28.10%,18.00%,354,664,1018
428,Anthony Jimenez,SEA,A,21-21,256,0.407,1.31,15.90%,47.70%,36.40%,16.40%,12.70%,40.30%,28.90%,30.80%,16.30%,353,661,1014
429,Julio E. Rodriguez,STL,A,21-21,306,0.298,0.92,15.30%,40.60%,44.10%,25.70%,7.90%,42.70%,27.80%,29.50%,12.70%,316,697,1013
430,Livan Soto,LAA,A,19-19,282,0.257,1.74,18.50%,51.70%,29.80%,21.30%,1.60%,41.30%,19.70%,38.90%,6.20%,382,628,1010
431,Brantley Bell,CIN,A,22-22,256,0.335,1.63,16.80%,51.60%,31.60%,14.30%,4.10%,50.60%,18.80%,30.60%,12.90%,358,652,1010
432,Jared Young,CHC,A,22-22,293,0.341,1.11,19.20%,42.50%,38.30%,26.80%,12.20%,42.50%,24.20%,33.30%,9.90%,354,654,1008
433,Tim Millard,LAA,A,23-24,248,0.288,0.87,17.50%,38.50%,44.10%,17.50%,6.30%,41.70%,21.20%,37.10%,10.60%,394,613,1007
434,Mitch Nay,TOR,A,23-23,275,0.241,1.04,18.30%,41.60%,40.10%,29.10%,12.70%,44.80%,21.90%,33.30%,12.10%,364,638,1002
435,Jason Goldstein,OAK,A,23-23,270,0.231,1.09,19.50%,42.10%,38.50%,22.70%,4.00%,43.60%,26.50%,29.90%,6.70%,379,619,998
436,Jonathan Aranda,TBR,A,21-21,246,0.325,1.24,9.50%,50.00%,40.50%,13.20%,4.40%,38.40%,20.30%,41.30%,5.60%,376,613,989
437,Adam Walton,ARI,A,23-23,266,0.344,1,18.70%,40.70%,40.70%,24.30%,2.70%,48.10%,17.30%,34.60%,10.90%,350,633,983
438,Jonatan Machado,STL,A,19-20,279,0.3,1.33,17.10%,47.40%,35.50%,22.70%,0.00%,39.90%,24.90%,35.20%,9.20%,328,655,983
439,Nick Podkul,TOR,A,22-22,241,0.306,0.75,23.40%,32.90%,43.70%,37.70%,2.90%,42.60%,22.80%,34.60%,6.70%,409,572,981
440,Josh Lester,DET,A,22-22,285,0.298,0.58,18.60%,30.00%,51.40%,22.10%,8.00%,48.20%,25.00%,26.80%,11.50%,314,661,975
441,Morgan Lofstrom,CIN,A,21-23,273,0.403,1.03,17.40%,41.90%,40.60%,12.70%,4.80%,45.30%,23.30%,31.40%,23.10%,288,683,971
442,Wander Franco,TBR,A,18-18,272,0.318,1.27,15.20%,47.50%,37.30%,18.50%,7.40%,45.00%,26.80%,28.20%,4.50%,385,577,962
443,Jacob Robson,DET,A,22-22,267,0.435,3.03,15.10%,63.90%,21.10%,17.10%,2.90%,35.10%,33.30%,31.60%,10.00%,368,590,958
444,Tyler Friis,CLE,A,22-22,249,0.289,0.73,25.90%,31.40%,42.70%,16.50%,3.80%,49.70%,22.50%,27.70%,5.80%,395,559,954
445,Pat McInerney,MIL,A,23-23,230,0.297,1.02,23.50%,38.70%,37.80%,13.30%,22.20%,47.10%,33.10%,19.80%,13.70%,384,567,951
446,Brandon Benson,STL,A,22-23,265,0.233,0.71,16.10%,34.80%,49.00%,35.50%,7.90%,45.90%,28.70%,25.50%,16.90%,319,631,950
447,Kaleo Johnson,TBR,A,22-22,258,0.353,1.34,22.00%,44.60%,33.30%,22.00%,11.90%,47.80%,20.60%,31.70%,16.40%,323,627,950
448,Louis Boyd,SEA,A,23-24,266,0.28,0.81,12.50%,39.10%,48.40%,32.60%,2.20%,51.30%,20.60%,28.00%,12.20%,349,599,948
449,Tyler Payne,CHC,A,24-25,259,0.293,1.31,16.20%,47.60%,36.20%,23.90%,9.00%,39.40%,27.10%,33.50%,9.70%,357,589,946
450,Daniel Schneemann,CLE,A,21-22,269,0.35,1.35,22.50%,44.50%,33.00%,10.00%,3.30%,41.40%,28.50%,30.10%,11.30%,338,602,940
451,Chris Williams,MIN,A,22-22,233,0.25,0.48,10.00%,29.20%,60.80%,21.50%,12.70%,46.30%,26.90%,26.90%,13.60%,389,550,939
452,Wander Franco,HOU,A,20-20,246,0.295,1.2,18.50%,44.40%,37.00%,11.70%,10.00%,51.50%,23.30%,25.20%,16.00%,321,613,934
453,D.J. Artis,CHC,A,22-22,215,0.366,1.25,11.50%,49.20%,39.30%,35.40%,4.20%,30.70%,23.60%,45.70%,8.50%,386,546,932
454,D.C. Arendas,LAA,A,25-25,222,0.277,0.68,15.80%,34.20%,50.00%,26.30%,10.50%,47.90%,18.50%,33.60%,15.00%,387,545,932
455,Jay Feliciano,MIL,A,22-22,255,0.238,1.07,14.00%,44.50%,41.50%,27.90%,5.90%,51.20%,23.20%,25.60%,14.10%,325,607,932
456,Dominic Fletcher,ARI,A,21-21,239,0.396,0.97,15.70%,41.50%,42.80%,17.60%,7.40%,34.50%,24.80%,40.60%,11.50%,336,595,931
457,Carlos Rivero,CIN,A,20-22,263,0.311,1.31,18.50%,46.20%,35.30%,33.30%,2.40%,41.10%,25.60%,33.30%,20.90%,303,628,931
458,Levi Jordan,CHC,A,23-23,256,0.275,1.44,12.80%,51.40%,35.80%,18.80%,1.60%,51.90%,27.00%,21.10%,9.10%,318,612,930
459,Troy Sieber,HOU,A,22-22,230,0.348,1.58,18.30%,50.00%,31.70%,13.30%,15.60%,41.40%,28.30%,30.30%,9.70%,398,531,929
460,Alex Kirilloff,MIN,A,20-20,281,0.364,0.98,10.20%,44.40%,45.40%,4.30%,14.00%,37.50%,26.00%,36.50%,12.80%,329,595,924
461,Drew Longley,DET,A,28-28,239,0.341,0.7,23.30%,31.60%,45.10%,31.70%,3.30%,58.60%,23.60%,17.90%,16.00%,331,592,923
462,Luis Campusano,SDP,A,19-19,284,0.335,1.89,22.50%,50.70%,26.80%,28.10%,5.30%,48.60%,22.50%,28.90%,9.40%,317,605,922
463,Alex Holderbach,HOU,A,22-22,240,0.322,1.19,20.80%,43.00%,36.20%,22.20%,11.10%,48.00%,25.70%,26.30%,10.70%,332,588,920
464,Christopher Morel,CHC,A,20-20,278,0.345,1.01,13.50%,43.50%,43.00%,22.10%,7.00%,52.50%,27.20%,20.30%,13.00%,308,610,918
465,Zach Malis,DET,A,22-22,236,0.278,0.77,14.50%,37.20%,48.30%,31.30%,3.60%,60.70%,15.60%,23.70%,10.70%,326,590,916
466,Andrew Young,STL,A,23-23,244,0.331,0.75,18.40%,34.90%,46.70%,23.90%,16.90%,46.80%,28.50%,24.70%,11.80%,347,567,914
467,Alfredo Angarita,HOU,A,21-21,271,0.297,2.62,20.00%,57.90%,22.10%,14.30%,2.40%,32.10%,24.00%,43.90%,9.40%,346,568,914
468,Rod Boykin,SDP,A,22-22,235,0.366,1.3,16.50%,47.20%,36.20%,13.00%,13.00%,44.40%,29.30%,26.30%,15.90%,348,564,912
469,Cole Peterson,DET,A,22-22,284,0.32,1.9,19.20%,53.00%,27.90%,32.80%,0.00%,50.40%,24.10%,25.40%,8.70%,330,581,911
470,Thomas Dillard,MIL,A,21-21,216,0.31,0.92,17.60%,39.50%,42.90%,17.60%,11.80%,41.00%,21.30%,37.70%,11.20%,404,506,910
471,Andres Sotillo,TOR,A,23-24,233,0.347,1.9,22.60%,50.70%,26.70%,20.50%,5.10%,40.00%,27.30%,32.70%,9.50%,328,582,910
472,Ruben Castro,HOU,A,21-22,223,0.363,2.33,16.70%,58.30%,25.00%,11.10%,0.00%,30.10%,26.00%,43.80%,8.40%,377,530,907
473,Marcos Brito,OAK,A,19-19,228,0.257,1.42,13.40%,50.70%,35.80%,22.90%,4.20%,38.60%,25.00%,36.40%,12.80%,328,578,906
474,Blaise Salter,DET,A,24-24,289,0.376,1.19,23.70%,41.40%,34.90%,21.30%,8.00%,52.30%,22.70%,25.00%,15.20%,292,614,906
475,Orlando Martinez,LAA,A,20-20,238,0.373,0.99,16.50%,41.50%,42.10%,14.50%,4.30%,36.60%,24.40%,39.00%,9.70%,322,583,905
476,Tyler Freeman,CLE,A,20-20,272,0.32,1.04,26.30%,37.60%,36.10%,18.90%,4.10%,41.40%,25.20%,33.30%,5.20%,319,584,903
477,Brock Carpenter,LAD,A,22-23,222,0.355,0.98,23.00%,38.10%,38.90%,12.20%,10.20%,39.50%,29.50%,31.00%,12.60%,345,558,903
478,Jermaine Palacios,MIN,A,20-20,276,0.356,1.02,15.50%,42.70%,41.70%,9.30%,12.80%,52.60%,26.30%,21.10%,12.70%,271,630,901
479,Kramer Robertson,STL,A,22-22,242,0.313,1.4,18.60%,47.50%,33.90%,23.30%,5.00%,49.70%,24.00%,26.30%,6.70%,364,528,892
480,Trey Hair,TBR,A,23-23,243,0.347,1.28,19.40%,45.30%,35.30%,18.30%,5.00%,48.90%,21.00%,30.10%,10.60%,340,549,889
481,Michael Wielansky,HOU,A,22-22,238,0.311,1.38,13.20%,50.30%,36.50%,17.20%,3.40%,40.70%,23.40%,35.90%,10.10%,341,541,882
482,Kelvin Melean,SDP,A,19-20,246,0.265,0.89,13.80%,40.70%,45.50%,27.60%,5.30%,46.80%,18.70%,34.50%,11.30%,318,564,882
483,Stevie Berman,LAD,A,22-22,239,0.262,0.87,19.10%,37.70%,43.20%,29.10%,0.00%,38.50%,30.50%,31.00%,6.10%,317,559,876
484,Keibert Ruiz,LAD,A,18-18,251,0.355,1.23,19.60%,44.30%,36.10%,14.30%,2.90%,49.50%,24.50%,26.00%,8.90%,309,565,874
485,Brian Rey,CIN,A,21-21,259,0.291,1.16,18.40%,43.80%,37.80%,18.40%,11.80%,50.00%,24.50%,25.50%,10.40%,276,597,873
486,Joe Cronin,MIN,A,23-25,222,0.287,0.74,8.90%,38.70%,52.40%,12.30%,7.70%,47.70%,26.60%,25.80%,12.10%,325,543,868
487,Elvis Perez,CLE,A,21-22,236,0.259,0.82,18.40%,36.80%,44.80%,21.90%,5.50%,47.30%,22.20%,30.50%,13.40%,300,567,867
488,Davis Bradshaw,MIA,A,21-21,247,0.32,1.66,14.90%,53.10%,32.00%,14.30%,0.00%,35.70%,28.10%,36.20%,10.80%,251,614,865
489,Mark Karaviotis,ARI,A,21-21,236,0.405,1.02,24.80%,37.90%,37.20%,14.80%,3.70%,46.40%,24.50%,29.10%,13.50%,326,539,865
490,Jake Meyers,HOU,A,22-22,257,0.354,1.01,17.00%,41.80%,41.20%,17.30%,6.70%,48.60%,20.00%,31.40%,9.40%,313,551,864
491,Scott Hurst,STL,A,22-22,216,0.353,1.4,23.80%,44.40%,31.80%,16.70%,6.30%,39.20%,20.90%,39.90%,8.60%,324,539,863
492,Alejo Lopez,CIN,A,22-22,260,0.364,1,16.00%,42.00%,42.00%,19.00%,0.00%,37.40%,22.80%,39.80%,6.00%,299,563,862
493,J.C. Rodriguez,OAK,A,21-21,229,0.272,1.03,18.00%,41.60%,40.40%,32.30%,6.20%,61.60%,21.30%,17.10%,7.00%,338,516,854
494,Fidel Mejia,CHC,A,20-20,221,0.312,1.86,17.10%,53.90%,28.90%,11.40%,4.50%,47.80%,19.70%,32.50%,15.30%,280,572,852
495,Raymond Henderson,HOU,A,21-21,226,0.264,0.62,16.30%,31.90%,51.80%,31.50%,4.10%,48.30%,30.60%,21.10%,13.10%,321,529,850
496,Ernie Clement,CLE,A,22-22,247,0.29,1.64,21.10%,49.00%,29.90%,24.10%,1.70%,46.50%,20.30%,33.20%,5.20%,317,532,849
497,Mitch Longo,CLE,A,22-22,232,0.416,1.47,25.00%,44.60%,30.40%,21.60%,7.80%,38.20%,25.90%,35.90%,7.60%,324,523,847
498,Ramiro Rodriguez,HOU,A,21-21,207,0.256,0.91,16.40%,39.80%,43.80%,19.60%,3.60%,47.30%,26.70%,26.00%,8.80%,375,468,843
499,Marcus Chiu,LAD,A,21-21,218,0.263,1.06,15.30%,43.50%,41.10%,29.40%,17.60%,47.20%,16.50%,36.20%,14.30%,322,515,837
500,Michael Davis,MIN,A,22-23,226,0.376,1,14.30%,42.90%,42.90%,11.70%,15.00%,41.30%,26.60%,32.20%,19.70%,283,546,829
